Transcript,Gene,Alias,Fold Change,Direction,Total FPKM,Q-Value,Description
AT4G09800.1,AT4G09800,RPS18C,1.97,DOWN,114.27,0.0054,40S ribosomal protein S18
AT4G29430.1,AT4G29430,rps15ae,2.10,DOWN,31.56,0.2289,40S ribosomal protein S15a-5
AT4G31700.1,AT4G31700,RPS6,1.62,DOWN,121.74,0.0011,40S ribosomal protein S6-1
AT5G10360.1,AT5G10360,RPS6B,1.76,DOWN,70.90,0.0123,40S ribosomal protein S6-2
AT5G10360.2,AT5G10360,RPS6B,2.39,DOWN,25.28,0.3380,40S ribosomal protein S6-2
AT5G23740.1,AT5G23740,RPS11-BETA,2.24,DOWN,78.35,0.0011,40S ribosomal protein S11-3
AT5G64140.1,AT5G64140,RPS28,1.12,DOWN,115.50,0.9846,40S ribosomal protein S28-2
AT4G11290.1,AT4G11290,,1.46,DOWN,11.13,0.7433,peroxidase 39
AT3G49960.1,AT3G49960,,1.81,DOWN,9.79,0.4630,peroxidase 35
AT3G32980.1,AT3G32980,,2.12,DOWN,114.51,0.0011,peroxidase 32
AT3G28200.1,AT3G28200,,2.08,DOWN,40.83,0.0598,peroxidase 31
AT1G74970.1,AT1G74970,RPS9,2.27,DOWN,71.31,0.0021,30S ribosomal protein S9
AT1G79850.1,AT1G79850,CS17,1.96,DOWN,301.27,0.0011,30S ribosomal protein S17
AT2G38140.1,AT2G38140,PSRP4,1.91,DOWN,263.98,0.0011,30S ribosomal protein S31
AT3G21770.1,AT3G21770,,1.80,DOWN,17.59,0.3907,peroxidase 30
AT5G24490.1,AT5G24490,,1.98,UP,76.26,0.0011,putative 30S ribosomal protein
AT3G01190.1,AT3G01190,,1.56,DOWN,17.39,0.5305,peroxidase 27
AT1G09100.1,AT1G09100,RPT5B,2.25,UP,6.14,0.3639,26S proteasome regulatory subunit T5
AT1G20200.1,AT1G20200,EMB2719,1.71,DOWN,10.72,0.2102,26S proteasome regulatory subunit N3
AT1G29150.1,AT1G29150,ATS9,1.36,DOWN,26.98,0.4744,26S proteasome regulatory subunit N6
AT1G64520.1,AT1G64520,RPN12a,1.23,DOWN,27.28,0.7384,26S proteasome non-ATPase regulatory subunit RPN12A
AT1G64750.1,AT1G64750,DSS1(I),3.51,DOWN,64.72,0.5524,26 proteasome complex subunit DSS1
AT1G64750.2,AT1G64750,DSS1(I),1.12,DOWN,30.41,1,26 proteasome complex subunit DSS1
AT1G64750.3,AT1G64750,DSS1(I),2.01,DOWN,9.94,0.6933,26 proteasome complex subunit DSS1
AT2G20580.1,AT2G20580,RPN1A,1.42,UP,13.35,0.3117,26S proteasome regulatory subunit N1
AT4G29040.1,AT4G29040,RPT2a,1.15,UP,33.22,0.7603,26S proteasome regulatory subunit 4-A
AT4G38630.1,AT4G38630,MCB1,1.13,DOWN,24.68,0.9070,26S proteasome non-ATPase regulatory subunit 4
AT5G05780.1,AT5G05780,RPN8A,1.41,UP,15.82,0.5410,26S proteasome regulatory subunit N8
AT5G09900.2,AT5G09900,MSA,2.51,DOWN,9.00,0.5672,26S proteasome regulatory subunit N5
AT5G45010.1,AT5G45010,ATDSS1(V),1.38,DOWN,62.56,0.5664,26 proteasome complex subunit DSS1
AT3G10720.2,AT3G10720,,2.01,UP,5.77,0.4891,pectinesterase 25
AT1G20330.1,AT1G20330,CVP1,2.46,DOWN,36.64,0.0021,24-methylenesterol C-methyltransferase 2
AT1G76090.1,AT1G76090,SMT3,3.33,DOWN,11.66,0.1885,24-methylenesterol C-methyltransferase 3
AT2G38390.1,AT2G38390,,5.03,DOWN,16.84,0.0704,peroxidase 23
AT2G38380.1,AT2G38380,,3.10,DOWN,18.47,0.0670,peroxidase 22
AT2G39700.1,AT2G39700,ATHEXP ALPHA 1.6,1.27,DOWN,20.08,0.6235,expansin A4
AT2G18980.1,AT2G18980,,1.12,UP,9.06,1,peroxidase 16
AT5G46420.1,AT5G46420,,1.70,UP,8.88,0.4326,RimM-like 16S rRNA processing protein
AT3G29030.1,AT3G29030,ATHEXP ALPHA 1.4,2.43,DOWN,15.90,0.1282,expansin A5
AT1G10830.1,AT1G10830,Z-ISO,1.08,UP,8.05,1,15-cis-zeta-carotene isomerase
AT5G01750.2,AT5G01750,,2.37,UP,62.34,0.0021,LURP-one-related 15 protein
AT1G22300.1,AT1G22300,14-3-3EPSILON,1.31,DOWN,43.39,0.8985,14-3-3-like protein GF14 epsilon
AT1G22300.2,AT1G22300,14-3-3EPSILON,2.19,UP,118.48,0.0054,14-3-3-like protein GF14 epsilon
AT1G78300.1,AT1G78300,GRF2,1.50,DOWN,58.70,0.1064,14-3-3-like protein GF14 omega
AT2G42590.1,AT2G42590,GRF9,2.34,UP,23.78,0.5672,14-3-3-like protein GF14 mu
AT2G42590.2,AT2G42590,GRF9,3.99,DOWN,32.36,0.0704,14-3-3-like protein GF14 mu
AT3G02520.1,AT3G02520,GRF7,2.53,UP,11.98,0.2328,14-3-3-like protein GF14 nu
AT4G09000.1,AT4G09000,GRF1,1.38,DOWN,157.38,0.0539,14-3-3-like protein GF14 chi
AT5G10450.1,AT5G10450,AFT1,6.81,DOWN,114.12,0.5492,14-3-3-like protein GF14 lambda
AT5G10450.2,AT5G10450,AFT1,3.46,UP,16.51,0.7360,14-3-3-like protein GF14 lambda
AT5G38480.1,AT5G38480,GRF3,1.19,DOWN,81.69,0.7015,14-3-3-like protein GF14 psi
AT5G65430.1,AT5G65430,GRF8,8721.19,DOWN,41.41,0.5672,14-3-3-like protein GF14 kappa
AT5G65430.2,AT5G65430,GRF8,5.96,UP,29.56,0.5249,14-3-3-like protein GF14 kappa
AT1G71695.1,AT1G71695,,1.04,UP,45.12,1,peroxidase 12
AT1G76680.1,AT1G76680,OPR1,1.55,DOWN,42.32,0.1416,12-oxophytodienoate reductase 1
AT2G06050.1,AT2G06050,OPR3,1.17,UP,8.39,1,12-oxophytodienoate reductase 3
AT2G03890.1,AT2G03890,ATPI4K GAMMA 7,2.17,DOWN,10.37,0.0152,phosphoinositide 4-kinase gamma 7
AT1G49570.1,AT1G49570,,7.57,UP,4.15,0.4155,peroxidase 10
AT1G21710.1,AT1G21710,OGG1,3.45,DOWN,4.71,0.2376,8-oxoguanine-DNA glycosylase 1
AT1G30870.1,AT1G30870,,3.06,DOWN,14.88,0.0989,peroxidase 7
AT1G50430.2,AT1G50430,DWF5,1.19,DOWN,16.53,0.7433,7-dehydrocholesterol reductase
AT2G03510.1,AT2G03510,,2.64,UP,6.96,0.3117,SPFH/Band 7/PHB domain-containing membrane-associated protein
AT4G02970.1,AT4G02970,AT7SL-1,1.27,UP,129.88,0.2765,7SL RNA1
AT1G54060.1,AT1G54060,ASIL1,1.28,UP,11.38,0.7480,6B-interacting protein 1-like 1
AT2G44050.1,AT2G44050,COS1,1.10,DOWN,32.14,1,6;7-dimethyl-8-ribityllumazine synthase
AT4G29220.1,AT4G29220,PFK1,1.36,UP,15.66,0.5672,6-phosphofructokinase 1
AT5G15490.1,AT5G15490,,1.15,UP,10.66,0.9664,UDPglucose 6-dehydrogenase
AT5G24400.1,AT5G24400,EMB2024,1.13,DOWN,14.22,1,6-phosphogluconolactonase
AT1G48860.1,AT1G48860,,1.42,UP,7.57,1,putative 5-enolpyruvylshikimate-3-phosphate synthase
AT1G62180.1,AT1G62180,PRH,1.79,UP,16.72,0.4607,5'-adenylylsulfate reductase 2
AT1G62180.2,AT1G62180,PRH,1.17,UP,71.07,0.6164,5'-adenylylsulfate reductase 2
AT2G04690.1,AT2G04690,,1.29,UP,18.27,0.8743,Pyridoxamine 5'-phosphate oxidase family protein
AT3G04790.1,AT3G04790,,2.64,DOWN,136.64,0.0011,ribose 5-phosphate isomerase A
AT3G54470.1,AT3G54470,,1.39,DOWN,18.20,0.4675,orotidine 5'-phosphate decarboxylase
AT4G04610.1,AT4G04610,APR1,1.31,UP,59.27,0.2759,5'-adenylylsulfate reductase 1
AT4G21990.1,AT4G21990,PRH26,1.35,UP,61.63,0.1504,5'-adenylylsulfate reductase 3
AT5G17920.1,AT5G17920,ATMETS,1.42,DOWN,227.09,0.0011,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
AT5G44520.1,AT5G44520,,1.15,DOWN,11.95,1,ribose 5-phosphate isomerase A
CUFF.533.3,CUFF,PI4K GAMMA 4,3.28,DOWN,4.95,0.3118,
AT1G06570.2,AT1G06570,PDS1,1.02,DOWN,7.10,1,4-hydroxyphenylpyruvate dioxygenase
AT1G07700.1,AT1G07700,,1.59,UP,11.48,0.6458,thioredoxin-like 4
AT1G51680.1,AT1G51680,4CL.1,1.65,UP,17.86,0.1658,4-coumarate--CoA ligase 1
AT2G26930.1,AT2G26930,ATCDPMEK,1.29,DOWN,8.61,0.9450,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
AT2G40840.1,AT2G40840,DPE2,2.05,UP,8.55,0.0690,4-alpha-glucanotransferase
AT4G34350.1,AT4G34350,ISPH,1.40,UP,53.62,0.1269,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
AT5G16010.1,AT5G16010,,2.77,DOWN,42.63,0.0269,3-oxo-5-alpha-steroid 4-dehydrogenase family protein
AT5G60600.1,AT5G60600,GCPE,4.72,UP,30.69,0.1413,4-hydroxy-3-methylbut-2-enyl diphosphate synthase
AT5G60600.2,AT5G60600,GCPE,3.47,DOWN,15.86,0.5585,4-hydroxy-3-methylbut-2-enyl diphosphate synthase
AT1G01120.1,AT1G01120,KCS1,2.01,DOWN,15.21,0.1074,3-ketoacyl-CoA synthase 1
AT1G07720.1,AT1G07720,KCS3,1.16,DOWN,12.11,0.9642,3-ketoacyl-CoA synthase 3
AT1G13640.1,AT1G13640,,1.40,DOWN,10.48,0.5580,phosphatidylinositol 3-and 4-kinase-like protein
AT1G14740.1,AT1G14740,,3.48,UP,10.87,0.0383,OBERON 3 protein
AT1G25450.1,AT1G25450,KCS5,2.54,DOWN,17.50,0.0439,3-ketoacyl-CoA synthase 5
AT1G31180.1,AT1G31180,IPMDH1,2.34,UP,10.20,0.2758,3-isopropylmalate dehydrogenase 1
AT1G63000.1,AT1G63000,UER1,1.27,DOWN,39.17,0.5672,3;5-epimerase/4-reductase
AT1G68530.1,AT1G68530,G2,1.78,DOWN,95.42,0.0011,3-ketoacyl-CoA synthase 6
AT1G74960.1,AT1G74960,FAB1,1.84,DOWN,8.25,0.4894,3-oxoacyl
AT1G74960.2,AT1G74960,FAB1,1.33,UP,9.39,0.7311,3-oxoacyl
AT1G80380.1,AT1G80380,,2.95,DOWN,13.73,0.5950,D-glycerate 3-kinase
AT1G80380.2,AT1G80380,,1.21,DOWN,14.48,1,D-glycerate 3-kinase
AT1G80380.4,AT1G80380,,1.15,DOWN,14.89,1,D-glycerate 3-kinase
AT2G15090.1,AT2G15090,KCS8,1.04,DOWN,11.22,1,3-ketoacyl-CoA synthase 8
AT2G16280.1,AT2G16280,KCS9,1.54,DOWN,17.66,0.3072,3-ketoacyl-CoA synthase 9
AT2G26250.1,AT2G26250,KCS10,1.54,DOWN,60.16,0.0105,3-ketoacyl-CoA synthase 10
AT2G26640.1,AT2G26640,KCS11,2.44,DOWN,7.34,0.4940,3-ketoacyl-CoA synthase 11
AT2G33150.1,AT2G33150,PED1,1.36,DOWN,58.59,0.1073,3-ketoacyl-CoA thiolase 2
AT3G01850.2,AT3G01850,,1.45,UP,5.79,0.8962,ribulose-phosphate 3-epimerase
AT3G11770.1,AT3G11770,,1.12,DOWN,13.13,1,DnaQ-like 3'-5' exonuclease domain-containing protein
AT4G13430.1,AT4G13430,IIL1,1.47,UP,54.97,0.0415,3-isopropylmalate dehydratase
AT4G14440.1,AT4G14440,ATECI3,1.77,DOWN,42.25,0.0973,3-hydroxyacyl-CoA dehydratase 1
AT5G04530.1,AT5G04530,KCS19,1.27,DOWN,24.26,0.5672,3-ketoacyl-CoA synthase 21
AT5G10480.1,AT5G10480,PEP,1.08,UP,25.27,1,3-hydroxyacyl-CoA dehydratase PASTICCINO 2
AT5G14200.2,AT5G14200,IMD1,493.45,DOWN,11.55,0.5672,3-isopropylmalate dehydrogenase 3
AT5G14200.3,AT5G14200,IMD1,3777.88,UP,9.92,0.5672,3-isopropylmalate dehydrogenase 3
AT5G43760.1,AT5G43760,KCS20,1.63,DOWN,47.15,0.0194,3-ketoacyl-CoA synthase 19
AT5G46290.1,AT5G46290,KASI,1.37,DOWN,28.00,0.6767,3-oxoacyl
AT5G46290.2,AT5G46290,KASI,2.61,DOWN,31.03,0.1064,3-oxoacyl
AT5G65940.1,AT5G65940,chy1,7217.39,UP,5.29,0.6871,3-hydroxyisobutyryl-CoA hydrolase 1
AT5G66120.2,AT5G66120,,1.17,DOWN,18.18,0.8838,putative 3-dehydroquinate synthase
AT1G18500.1,AT1G18500,MAML-4,3.65,UP,11.70,0.0598,2-isopropylmalate synthase
AT1G63970.1,AT1G63970,ISPF,1.48,DOWN,33.33,0.4592,2-C-methyl-D-erythritol 2;4-cyclodiphosphate synthase
AT1G74040.1,AT1G74040,MAML-3,5.04,UP,4.75,0.1975,2-isopropylmalate synthase 2
AT2G25450.1,AT2G25450,,1.46,UP,73.24,0.0307,putative 2-oxoacid dependent dioxygenase
AT3G13450.1,AT3G13450,DIN4,1.05,UP,8.58,1,2-oxoisovalerate dehydrogenase E1 component; beta subunit
AT3G25860.1,AT3G25860,LTA2,3.01,DOWN,32.57,0.0011,2-oxoacid dehydrogenases acyltransferase family protein
AT4G02940.1,AT4G02940,,1.52,UP,13.13,0.3774,oxidoreductase; 2OG-Fe(II) oxygenase family protein
AT5G16970.1,AT5G16970,AT-AER,1.15,DOWN,26.51,0.8754,2-alkenal reductase
AT5G51970.2,AT5G51970,,1.39,DOWN,67.32,0.1825,L-iditol 2-dehydrogenase
AT5G59540.1,AT5G59540,,1.30,UP,29.14,0.5672,oxidoreductase; 2OG-Fe(II) oxygenase family protein
AT1G02730.1,AT1G02730,ATCSLD5,2.07,UP,6.08,0.1146,1;4-beta-D-xylan synthase
AT1G05010.1,AT1G05010,EFE,1.02,UP,121.42,1,1-aminocyclopropane-1-carboxylate oxidase
AT1G12000.1,AT1G12000,,1.52,DOWN,9.32,0.4306,pyrophosphate--fructose-6-phosphate 1-phosphotransferase
AT1G35160.2,AT1G35160,GF14 PHI,1.26,UP,8.29,1,14-3-3-like protein GF14 phi
AT1G60600.1,AT1G60600,ABC4,2.03,UP,11.65,0.2544,1;4-dihydroxy-2-naphthoate octaprenyltransferase
AT1G62640.2,AT1G62640,KAS III,1.04,UP,11.02,1,3-oxoacyl
AT2G36230.1,AT2G36230,APG10,4.67,DOWN,4.32,0.5672,1-(5-phosphoribosyl)-5
AT2G36390.1,AT2G36390,SBE2.1,1.90,UP,12.46,0.1245,1;4-alpha-glucan branching enzyme
AT2G45300.1,AT2G45300,,1.06,UP,8.24,1,3-phosphoshikimate 1-carboxyvinyltransferase
AT3G08710.2,AT3G08710,TRX H9,1.08,DOWN,9.30,1,thioredoxin H9
AT3G17940.1,AT3G17940,,3.49,DOWN,7.02,0.1696,aldose 1-epimerase
AT3G47800.1,AT3G47800,,1.36,UP,16.05,0.6336,aldose 1-epimerase
AT3G62810.1,AT3G62810,,1.58,UP,41.54,0.4409,complex 1-LYR domain-containing protein
AT4G14300.1,AT4G14300,,1.23,DOWN,14.10,0.7280,ribonucleoprotein 1
AT4G14710.2,AT4G14710,ATARD2,76.06,DOWN,11.38,0.6767,1;2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 3
AT4G25900.1,AT4G25900,,2.12,UP,9.72,0.4328,aldose 1-epimerase family protein
AT4G30580.1,AT4G30580,EMB1995,2.15,UP,18.61,0.1194,1-acyl-sn-glycerol-3-phosphate acyltransferase 1
AT4G33670.1,AT4G33670,,1.27,DOWN,18.70,0.7384,D-threo-aldose 1-dehydrogenase
AT5G03650.1,AT5G03650,SBE2.2,2.34,UP,9.29,0.0679,1;4-alpha-glucan branching enzyme
AT5G16760.1,AT5G16760,,1.63,DOWN,13.28,0.5056,inositol-tetrakisphosphate 1-kinase 1
AT5G43850.1,AT5G43850,ATARD4,1.38,DOWN,37.40,0.5552,1;2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4
AT5G62790.1,AT5G62790,PDE129,2.28,UP,21.84,0.0258,1-deoxy-D-xylulose 5-phosphate reductoisomerase
AT5G63510.1,AT5G63510,GAMMA CAL1,1.08,DOWN,12.25,1,gamma carbonic anhydrase like 1
AT5G66530.1,AT5G66530,,1.27,DOWN,29.53,0.6383,aldose 1-epimerase family protein
AT5G26751.1,AT5G26751,SK 11,1.19,DOWN,10.46,0.9724,Shaggy-related protein kinase alpha
AT3G48680.1,AT3G48680,GAMMA CAL2,1.20,DOWN,16.49,0.9372,gamma carbonic anhydrase-like 2
AT1G19580.1,AT1G19580,GAMMA CA1,1.26,DOWN,9.79,0.8743,gamma carbonic anhydrase 1
AT2G45070.4,AT2G45070,SEC61 BETA,2.03,DOWN,23.81,0.7791,protein transport protein sec61 subunit beta
AT1G30120.1,AT1G30120,PDH-E1 BETA,1.20,DOWN,18.74,0.7609,pyruvate dehydrogenase E1 beta
AT1G31160.1,AT1G31160,HINT 2,1.51,DOWN,8.78,0.7558,histidine triad nucleotide-binding 2 protein
AT4G22890.5,AT4G22890,PGR5-LIKE A,13.62,UP,4.38,0.7360,PGR5-like protein 1A
AT4G22890.4,AT4G22890,PGR5-LIKE A,10340.59,DOWN,5.00,0.6919,PGR5-like protein 1A
AT1G04170.1,AT1G04170,EIF2 GAMMA,1.29,DOWN,16.59,0.5760,translation initiation factor eIF-2 gamma subunit
AT1G03630.1,AT1G03630,POR C,428.66,DOWN,12.17,0.5672,protochlorophyllide reductase C
AT1G03630.2,AT1G03630,POR C,23000.59,UP,19.07,0.5672,protochlorophyllide reductase C
CUFF.877.5,CUFF,PGR5-LIKE A,4.31,UP,10.78,0.5607,
AT5G16050.1,AT5G16050,GF14 UPSILON,1.30,UP,38.81,0.5265,14-3-3-like protein GF14 upsilon
AT3G26060.2,AT3G26060,ATPRX Q,6.64,UP,27.56,0.5009,peroxiredoxin Q
AT1G35160.1,AT1G35160,GF14 PHI,1.61,DOWN,33.63,0.4675,14-3-3-like protein GF14 phi
AT2G45070.1,AT2G45070,SEC61 BETA,1.51,DOWN,105.03,0.4658,protein transport protein sec61 subunit beta
AT3G26030.1,AT3G26030,ATB' DELTA,1.47,DOWN,15.61,0.4552,protein phosphatase 2 (formerly 2A); regulatory subunit B'
AT4G22890.2,AT4G22890,PGR5-LIKE A,1.86,DOWN,34.10,0.4184,PGR5-like protein 1A
AT1G59900.1,AT1G59900,AT-E1 ALPHA,1.38,UP,31.39,0.4143,pyruvate dehydrogenase complex E1 alpha subunit
AT1G17720.2,AT1G17720,ATB BETA,1.53,UP,9.88,0.3031,Protein phosphatase 2A; regulatory subunit PR55
AT5G55160.1,AT5G55160,SUMO 2,1.96,DOWN,41.53,0.2664,small ubiquitin-related modifier 2
AT2G32080.2,AT2G32080,PUR ALPHA-1,1.53,DOWN,32.21,0.2200,transcription factor Pur-alpha 1
AT3G06730.1,AT3G06730,TRX z,3.02,DOWN,21.58,0.1555,thioredoxin-like protein CITRX
AT4G12480.1,AT4G12480,pEARLI 1,1.68,UP,49.32,0.1536,bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like protein
AT1G62570.1,AT1G62570,FMO GS-OX4,2.31,UP,13.05,0.1429,flavin-containing monooxygenase FMO GS-OX4
AT1G31230.1,AT1G31230,AK-HSDH I,2.69,UP,5.30,0.1069,bifunctional aspartokinase/homoserine dehydrogenase 1
AT1G09970.1,AT1G09970,LRR XI-23,1.51,UP,19.27,0.0865,leucine-rich receptor-like protein kinase
AT1G01020.2,AT1G01020,ARV1,1.49,UP,11.78,0.7068,Arv1-like protein
AT1G01050.1,AT1G01050,AtPPa1,2.63,UP,21.34,0.0832,inorganic pyrophosphatase
AT1G01080.1,AT1G01080,,1.91,UP,23.04,0.2052,RNA recognition motif-containing protein
AT1G01090.1,AT1G01090,PDH-E1 ALPHA,1.63,DOWN,57.99,0.0077,pyruvate dehydrogenase E1 component subunit alpha
AT1G01100.2,AT1G01100,,3.61,DOWN,30.65,0.5212,60S acidic ribosomal protein P1-1
AT1G01100.3,AT1G01100,,1.48,DOWN,259.04,0.1146,60S acidic ribosomal protein P1-1
AT1G01100.4,AT1G01100,,1567.97,UP,15.13,0.6891,60S acidic ribosomal protein P1-1
AT1G01160.1,AT1G01160,GIF2,3.62,UP,10.17,0.5366,GRF1-interacting factor 2
AT1G01170.1,AT1G01170,,314.01,DOWN,46.63,0.5672,uncharacterized protein
AT1G01210.1,AT1G01210,,4.01,DOWN,21.36,0.3364,DNA-directed RNA polymerase III subunit C11
